word,count,rank,In Top,letter score,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
korea,30582894,435,1000,3.94027,0.981,0,0,0,0.984,0,0,0,0,0,0.258,0,0,0,0.847,0,0,0.871,0,0,0,0,0,0,0,0
close,107853068,146,1000,3.93997,0,0,0.481,0,0.984,0,0,0,0,0,0,0.702,0,0,0.847,0,0,0,0.927,0,0,0,0,0,0,0
tapes,9719559,920,1000,3.93464,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0.348,0,0,0.927,0.694,0,0,0,0,0,0
paste,8913055,985,1000,3.93464,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0.348,0,0,0.927,0.694,0,0,0,0,0,0
coast,47716394,299,1000,3.92963,0.981,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0.927,0.694,0,0,0,0,0,0
costa,23702154,501,1000,3.92963,0.981,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0.927,0.694,0,0,0,0,0,0
rules,97658641,160,1000,3.92428,0,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0.927,0,0.441,0,0,0,0,0
range,128314924,117,1000,3.92341,0.981,0,0,0,0.984,0,0.312,0,0,0,0,0,0,0.776,0,0,0,0.871,0,0,0,0,0,0,0,0
slide,22339084,518,1000,3.92307,0,0,0,0.462,0.984,0,0,0,0.848,0,0,0.702,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0
clean,45381752,311,1000,3.92325,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0.702,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0
terms,277705910,30,1000,3.91910,0,0,0,0,0.984,0,0,0,0,0,0,0,0.443,0,0,0,0,0.871,0.927,0.694,0,0,0,0,0,0
loads,9175948,968,1000,3.91884,0.981,0,0,0.462,0,0,0,0,0,0,0,0.702,0,0,0.847,0,0,0,0.927,0,0,0,0,0,0,0
roman,17431193,607,1000,3.91720,0.981,0,0,0,0,0,0,0,0,0,0,0,0.443,0.776,0.847,0,0,0.871,0,0,0,0,0,0,0,0
smart,36636558,371,1000,3.91626,0.981,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,0.871,0.927,0.694,0,0,0,0,0,0
heart,90249265,174,1000,3.90764,0.981,0,0,0,0.984,0,0,0.378,0,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
earth,61059905,243,1000,3.90764,0.981,0,0,0,0.984,0,0,0.378,0,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
miles,100012522,157,1000,3.90372,0,0,0,0,0.984,0,0,0,0.848,0,0,0.702,0.443,0,0,0,0,0,0.927,0,0,0,0,0,0,0
smile,13893537,725,1000,3.90372,0,0,0,0,0.984,0,0,0,0.848,0,0,0.702,0.443,0,0,0,0,0,0.927,0,0,0,0,0,0,0
islam,11214742,833,1000,3.90087,0.981,0,0,0,0,0,0,0,0.848,0,0,0.702,0.443,0,0,0,0,0,0.927,0,0,0,0,0,0,0
stage,52518330,279,1000,3.89819,0.981,0,0,0,0.984,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
gates,10734618,860,1000,3.89819,0.981,0,0,0,0.984,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
items,330505325,22,1000,3.89622,0,0,0,0,0.984,0,0,0,0.848,0,0,0,0.443,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
times,202950880,64,1000,3.89622,0,0,0,0,0.984,0,0,0,0.848,0,0,0,0.443,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
beast,14787561,686,1000,3.89543,0.981,0.309,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
suite,44829675,313,1000,3.89391,0,0,0,0,0.984,0,0,0,0.848,0,0,0,0,0,0,0,0,0,0.927,0.694,0.441,0,0,0,0,0
autos,9798008,910,1000,3.88968,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0.927,0.694,0.441,0,0,0,0,0
pearl,18707334,585,1000,3.88581,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0.348,0,0.871,0,0,0,0,0,0,0,0
penis,18478169,586,1000,3.88315,0,0,0,0,0.984,0,0,0,0.848,0,0,0,0,0.776,0,0.348,0,0,0.927,0,0,0,0,0,0,0
epson,16344475,638,1000,3.88177,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0.348,0,0,0.927,0,0,0,0,0,0,0
opens,14070477,714,1000,3.88177,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0.348,0,0,0.927,0,0,0,0,0,0,0
carol,11109404,842,1000,3.88080,0.981,0,0.481,0,0,0,0,0,0,0,0,0.702,0,0,0.847,0,0,0.871,0,0,0,0,0,0,0,0
coral,8818272,990,1000,3.88080,0.981,0,0.481,0,0,0,0,0,0,0,0,0.702,0,0,0.847,0,0,0.871,0,0,0,0,0,0,0,0
spain,51553238,282,1000,3.88031,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0,0.348,0,0,0.927,0,0,0,0,0,0,0
coins,16449733,636,1000,3.87814,0,0,0.481,0,0,0,0,0,0.848,0,0,0,0,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
icons,13649671,737,1000,3.87814,0,0,0.481,0,0,0,0,0,0.848,0,0,0,0,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
meant,17832930,598,1000,3.87812,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0.443,0.776,0,0,0,0,0,0.694,0,0,0,0,0,0
early,100013194,156,1000,3.87646,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0,0,0,0,0,0,0.339,0
layer,26912270,466,1000,3.87646,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0,0,0,0,0,0,0.339,0
relay,9275052,958,1000,3.87646,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0,0,0,0,0,0,0.339,0
actor,16282891,639,1000,3.87330,0.981,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0,0.694,0,0,0,0,0,0
karen,13067717,759,1000,3.86973,0.981,0,0,0,0.984,0,0,0,0,0,0.258,0,0,0.776,0,0,0,0.871,0,0,0,0,0,0,0,0
older,44222089,319,1000,3.86537,0,0,0,0.462,0.984,0,0,0,0,0,0,0.702,0,0,0.847,0,0,0.871,0,0,0,0,0,0,0,0
cents,10301064,881,1000,3.86194,0,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0.927,0.694,0,0,0,0,0,0
tried,34201786,396,1000,3.85925,0,0,0,0.462,0.984,0,0,0,0.848,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
tired,11158233,838,1000,3.85925,0,0,0,0.462,0.984,0,0,0,0.848,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
lakes,14947463,677,1000,3.85202,0.981,0,0,0,0.984,0,0,0,0,0,0.258,0.702,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0
evans,12020970,796,1000,3.84955,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0.927,0,0,0.182,0,0,0,0
large,165863763,85,1000,3.84936,0.981,0,0,0,0.984,0,0.312,0,0,0,0,0.702,0,0,0,0,0,0.871,0,0,0,0,0,0,0,0
lands,13891179,726,1000,3.84831,0.981,0,0,0.462,0,0,0,0,0,0,0,0.702,0,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
takes,57784233,257,1000,3.84452,0.981,0,0,0,0.984,0,0,0,0,0,0.258,0,0,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
gains,10137566,889,1000,3.84386,0.981,0,0,0,0,0,0.312,0,0.848,0,0,0,0,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
moral,13643598,738,1000,3.84316,0.981,0,0,0,0,0,0,0,0,0,0,0.702,0.443,0,0.847,0,0,0.871,0,0,0,0,0,0,0,0
great,301487430,27,1000,3.84187,0.981,0,0,0,0.984,0,0.312,0,0,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
basin,10544774,867,1000,3.84110,0.981,0.309,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
stand,46292709,304,1000,3.84081,0.981,0,0,0.462,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0.927,0.694,0,0,0,0,0,0
simon,19757457,565,1000,3.84051,0,0,0,0,0,0,0,0,0.848,0,0,0,0.443,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
metro,18738665,583,1000,3.83851,0,0,0,0,0.984,0,0,0,0,0,0,0,0.443,0,0.847,0,0,0.871,0,0.694,0,0,0,0,0,0
holes,11529280,818,1000,3.83705,0,0,0,0,0.984,0,0,0.378,0,0,0,0.702,0,0,0.847,0,0,0,0.927,0,0,0,0,0,0,0
route,31439231,425,1000,3.83620,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0,0.694,0.441,0,0,0,0,0
outer,11245167,831,1000,3.83620,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0,0.694,0.441,0,0,0,0,0
those,270014141,33,1000,3.82956,0,0,0,0,0.984,0,0,0.378,0,0,0,0,0,0,0.847,0,0,0,0.927,0.694,0,0,0,0,0,0
delta,28051872,457,1000,3.82343,0.981,0,0,0.462,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0,0.694,0,0,0,0,0,0
parts,100637505,155,1000,3.82165,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0,0.871,0.927,0.694,0,0,0,0,0,0
strap,11414669,822,1000,3.82165,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0,0.871,0.927,0.694,0,0,0,0,0,0
cause,65904680,226,1000,3.81310,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0,0.441,0,0,0,0,0
sauce,10968629,852,1000,3.81310,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0,0.441,0,0,0,0,0
worse,15677739,657,1000,3.80969,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0.927,0,0,0,0.181,0,0,0
metal,56181783,267,1000,3.80408,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0.443,0,0,0,0,0,0,0.694,0,0,0,0,0,0
piano,19419956,573,1000,3.79972,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0.847,0.348,0,0,0,0,0,0,0,0,0,0
panel,53784382,274,1000,3.79101,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0.776,0,0.348,0,0,0,0,0,0,0,0,0,0
plane,17799728,599,1000,3.79101,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0.776,0,0.348,0,0,0,0,0,0,0,0,0,0
nepal,10459583,875,1000,3.79101,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0.776,0,0.348,0,0,0,0,0,0,0,0,0,0
clone,9284578,956,1000,3.78884,0,0,0.481,0,0.984,0,0,0,0,0,0,0.702,0,0.776,0.847,0,0,0,0,0,0,0,0,0,0,0
jeans,11896655,803,1000,3.78828,0.981,0,0,0,0.984,0,0,0,0,0.120,0,0,0,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
grain,10244623,886,1000,3.78754,0.981,0,0,0,0,0,0.312,0,0.848,0,0,0,0,0.776,0,0,0,0.871,0,0,0,0,0,0,0,0
trend,15747018,654,1000,3.78734,0,0,0,0.462,0.984,0,0,0,0,0,0,0,0,0.776,0,0,0,0.871,0,0.694,0,0,0,0,0,0
organ,9077449,975,1000,3.78615,0.981,0,0,0,0,0,0.312,0,0,0,0,0,0,0.776,0.847,0,0,0.871,0,0,0,0,0,0,0,0
solid,37426444,363,1000,3.78582,0,0,0,0.462,0,0,0,0,0.848,0,0,0.702,0,0,0.847,0,0,0,0.927,0,0,0,0,0,0,0
brain,33612784,402,1000,3.78478,0.981,0.309,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0,0,0,0.871,0,0,0,0,0,0,0,0
brian,30060564,439,1000,3.78478,0.981,0.309,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0,0,0,0.871,0,0,0,0,0,0,0,0
minor,29782623,442,1000,3.78418,0,0,0,0,0,0,0,0,0.848,0,0,0,0.443,0.776,0.847,0,0,0.871,0,0,0,0,0,0,0,0
storm,22242164,521,1000,3.78185,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0.847,0,0,0.871,0.927,0.694,0,0,0,0,0,0
tours,37957036,359,1000,3.77954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0.927,0.694,0.441,0,0,0,0,0
cedar,9484993,940,1000,3.77844,0.981,0,0.481,0.462,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0,0,0,0,0,0,0,0
slave,10692715,861,1000,3.77551,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0.927,0,0,0.182,0,0,0,0
wales,29821525,441,1000,3.77525,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0.927,0,0,0,0.181,0,0,0
their,782849411,4,1000,3.77462,0,0,0,0,0.984,0,0,0.378,0.848,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
other,978481319,2,1000,3.77323,0,0,0,0,0.984,0,0,0.378,0,0,0,0,0,0,0.847,0,0,0.871,0,0.694,0,0,0,0,0,0
linda,14380554,699,1000,3.76910,0.981,0,0,0.462,0,0,0,0,0.848,0,0,0.702,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0
goals,36766773,367,1000,3.76844,0.981,0,0,0,0,0,0.312,0,0,0,0,0.702,0,0,0.847,0,0,0,0.927,0,0,0,0,0,0,0
waste,41089558,333,1000,3.76776,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0.694,0,0,0.181,0,0,0
katie,8878399,986,1000,3.76532,0.981,0,0,0,0.984,0,0,0,0.848,0,0.258,0,0,0,0,0,0,0,0,0.694,0,0,0,0,0,0
louis,38259201,354,1000,3.76415,0,0,0,0,0,0,0,0,0.848,0,0,0.702,0,0,0.847,0,0,0,0.927,0,0.441,0,0,0,0,0
areas,121986327,131,1000,3.76260,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
noted,29754565,443,1000,3.76307,0,0,0,0.462,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0,0,0,0,0.694,0,0,0,0,0,0
cream,25898758,476,1000,3.75909,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0,0.443,0,0,0,0,0.871,0,0,0,0,0,0,0,0
boats,15600762,658,1000,3.75818,0.981,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0.927,0.694,0,0,0,0,0,0
angel,25294123,487,1000,3.75456,0.981,0,0,0,0.984,0,0.312,0,0,0,0,0.702,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0
angle,17016075,619,1000,3.75456,0.981,0,0,0,0.984,0,0.312,0,0,0,0,0.702,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0
